au2_center_s,lag_from_base_frames,lag_from_base_ms,ncc
12.125,-2.412949936561447,-0.06702638712670686,0.9596368287713503
12.15,-1.4714738148597355,-0.04087427263499265,0.9665988627497242
12.175,0.048772370445822784,0.0013547880679395218,0.96939398422639
12.2,0.05422753459700939,0.001506320405472483,0.9554903302866921
12.225,0.061689004306460966,0.001713583452957249,0.9631837813943721
12.25,0.167459565444568,0.004651654595682444,0.9646780619844704
12.275,0.21469403473116971,0.005963723186976936,0.9620734324633373
12.3,0.2612754855982234,0.007257652377728427,0.9865615717656273
12.325,0.2741238787912264,0.007614552188645178,0.9968220851815535
12.35,0.26592592074528904,0.007386831131813584,0.9982404889779551
12.375,0.20812565548775788,0.0057812682079932745,0.9955368911701176
12.4,0.20819931012158133,0.005783314170043926,0.9956909548259912
12.425,0.21163223955825217,0.00587867332106256,0.9975099096523016
12.45,0.1860415205909665,0.005167820016415737,0.9927161689049426
12.475,0.2606418291982867,0.00724005081106352,0.9807548110868878
12.5,0.2373347899188162,0.00659263305330045,0.9695096453802516
12.525,0.22318262399541636,0.0061995173332060095,0.978707115493302
12.55,0.1482972954499623,0.004119369318054509,0.9805540647034973
12.575,-0.32518988370210855,-0.00903305232505857,0.9737960043665574
12.6,-0.09544084605420822,-0.002651134612616895,0.9841587563203352
12.625,0.23785028636738545,0.00660695239909404,0.9943980047752793
12.65,0.2193297028240037,0.006092491745111214,0.985349640596582
12.675,0.20897238529737602,0.0058047884804826675,0.9652930528045277
12.7,0.19063328108058863,0.00529536891890524,0.9677873136823851
12.725,0.1289022745927974,0.0035806187386888165,0.9877622404231746
12.75,0.17461936061634373,0.004850537794898437,0.9784196579768303
12.775,0.10578728755526208,0.002938535765423947,0.9559406102573783
12.8,-0.3074964832095874,-0.008541568978044095,0.9745830063058744
12.825,-0.17360676212263898,-0.004822410058962194,0.9903231288690421
12.85,0.13303028892244423,0.0036952858034012288,0.9821874058669627
12.875,0.1933609718095581,0.005371138105821058,0.9830934493056501
12.9,0.11566854579624843,0.0032130151610069006,0.9848086920548033
12.925,-0.4991649929734525,-0.01386569424926257,0.9896284063374733
12.95,0.13470553995343085,0.003741820554261968,0.9907080317574437
12.975,0.21298042894665845,0.0059161230262960674,0.9801447300690753
13.0,0.23588389232380377,0.0065523303423278825,0.9748646144901056
13.025,0.2476546405722969,0.006879295571452692,0.9770788546713525
13.05,0.13460800241421406,0.003739111178172613,0.9777620063371826
13.075,-0.013224139130162479,-0.00036733719806006886,0.9835076465900954
13.1,0.26055797775881534,0.007237721604411537,0.9951279395718418
13.125,0.23514128734225653,0.006531702426173793,0.9748196011932394
13.15,0.21303170825455275,0.005917547451515355,0.9689868435363945
13.175,0.1483191698939944,0.004119976941499844,0.9934683498200526
13.2,0.19867710692033327,0.005518808525564813,0.9938474182288636
13.225,0.139652080654399,0.003879224462622194,0.9536473235659403
13.25,0.13249573157274236,0.0036804369881317323,0.956197811396005
13.275,0.18668961857388736,0.005185822738163538,0.9907278436424626
13.3,0.2350892393757119,0.006530256649325331,0.9932140352924221
13.325,0.2761164230627045,0.00766990064063068,0.9872695930115292
13.35,0.2763241565810641,0.007675671016140669,0.9810636044879636
13.375,0.2181483119671227,0.0060596753324200755,0.9703642485875856
13.4,-7.424053327879711,-0.2062237035522142,0.9394688997123039
13.425,-6.813177497436043,-0.18925493048433453,0.9455849853095984
13.45,-0.8021422233379543,-0.022281728426054286,0.9787685753881645
13.475,0.11632129723547226,0.003231147145429785,0.9944396633467987
13.5,0.12498423563858028,0.0034717843232938968,0.9951060953119862
13.525,0.2586494764094615,0.007184707678040597,0.9980423542610153
13.55,0.056455415861423636,0.0015682059961506566,0.9787318674648642
13.575,0.047798422682842734,0.001327733963412298,0.9393876712012408
13.6,0.1267687301143413,0.0035213536142872587,0.9552779664718593
13.625,0.17020898294184958,0.004728027303940265,0.9762300138923388
13.65,0.16008277826119546,0.004446743840588763,0.9823535675500055
13.675,0.10537476350952116,0.0029270767641533654,0.9908153096197814
13.7,0.15407762779018247,0.004279934105282847,0.9642365288568638
13.725,0.16184586608590218,0.004495718502386172,0.9705189066341948
13.75,0.13535097997655512,0.0037597494437931977,0.9859032930161448
13.775,-0.13119073992240735,-0.0036441872200668707,0.986424446342804
13.8,-0.3418843705741606,-0.009496788071504461,0.9845184195066757
13.825,-1.499898336293252,-0.04166384267481255,0.9698029552944812
13.85,-0.8752746441434089,-0.02431318455953914,0.9785469298530917
13.875,-0.35689053817485306,-0.009913626060412585,0.9756076882059533
13.9,-0.13792552479819048,-0.0038312645777275134,0.9764825191329762
13.925,0.1337373068173326,0.0037149251893703493,0.969237540379194
13.95,0.2204436402220999,0.006123434450613886,0.9523826248487091
13.975,0.24416127120232203,0.0067822575333978345,0.9520537205289322
14.0,0.2547431341723432,0.0070761981714539774,0.9585809859065759
14.025,-0.03910098837066604,-0.0010861385658518345,0.975206999909126
14.05,-1.376881056269245,-0.038246696007479035,0.9548727783215953
14.075,-0.39971275448536986,-0.011103132069038053,0.9662580835919191
14.1,0.09347981445938079,0.0025966615127605776,0.9717765612940208
14.125,0.07075124245709614,0.0019653122904748927,0.9429992983674257
14.15,0.07469463307548906,0.002074850918763585,0.961170480661459
14.175,0.2019519505895882,0.005609776405266339,0.971139263312221
14.2,0.21675292067758434,0.006020914463266231,0.9506326780840388
14.225,0.2259717647009549,0.006276993463915414,0.9490428032946859
14.25,0.18294396059252166,0.005081776683125602,0.9640030577419284
14.275,0.03616512552302106,0.0010045868200839183,0.9790673543135846
14.3,-0.1812774721624066,-0.005035485337844628,0.9676952435350764
14.325,-0.2528277774422097,-0.0070229938178391575,0.9624087658751775
14.35,-0.6887517312649825,-0.019131992535138403,0.9534763929736854
14.375,-1.005529746712013,-0.027931381853111472,0.9564849750435614
14.4,0.07474940693095229,0.0020763724147486746,0.9636851210534757
14.425,0.20950409252921393,0.005819558125811498,0.9644725373818884
14.45,0.2306914309809407,0.00640809530502613,0.971293092182699
14.475,0.24087720199372467,0.006691033388714574,0.9825513363558753
14.5,-0.08889128199789452,-0.002469202277719292,0.9786210968961542
14.525,-0.03973405309656801,-0.0011037236971268892,0.9851626428972247
14.55,0.1913017648114899,0.0053139379114302745,0.991741256787496
14.575,0.0947607231144792,0.002632242308735533,0.9825798578961766
14.6,0.13814953957390366,0.003837487210386213,0.9788742799373605
14.625,0.213771343900307,0.0059380928861196385,0.9816758214158273
14.65,0.2188319819210984,0.006078666164474955,0.9830449124743804
14.675,0.22855663275787902,0.006348795354385528,0.9844803510957765
