Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0x0, config1 0x0, config2: 0x0)
Samples: 37482
Event count: 11847742602

Overhead  Command          Shared Object                                                                                                                 Symbol
0.17%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    GS::updatePreferredDisplaySourceForDraw(GSPrimitiveBatch const&)
0.16%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ps2x_gs_parallel::(anonymous namespace)::GSParallelBackend::ensureInit()
0.16%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ParallelGS::GSInterface::draw_is_degenerate()
0.16%     GsWorker         [vdso]                                                                                                                        __kernel_clock_gettime
0.16%     GsWorker         [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760b0ef7c]
0.15%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760829a08]
0.15%     GsWorker         /apex/com.android.runtime/lib64/bionic/libc.so                                                                                NonPI::MutexLockWithTimeout(pthread_mutex_internal_t*, bool, timespec const*)
0.14%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    GS::writeRegisterUnlocked(unsigned char, unsigned long)
0.14%     com.ps2x.runner  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                         !!!0000!58c4cf89d3544eaf0d40972d4ff12d!a9ee82cd83!
0.14%     com.ps2x.runner  /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    @plt
0.14%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760d625d0]
0.14%     GsWorker         [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760d65040]
0.14%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    void ParallelGS::GSInterface::drawing_kick<(ParallelGS::PRIMType)5>(bool)
0.13%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    GS::executeQueuedCommand(GsCommand&)
0.13%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    void ParallelGS::GSInterface::packed_XYZF<false>(void const*)
0.12%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe7611d4f98]
0.12%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760a21684]
