Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 130822
Event count: 98380655774

Overhead  Command          Symbol
0.10%     GameThread       VU1Interpreter::queueClip(unsigned int)
0.10%     GameThread       VU1RecompImage<17692172933381506641ul>::f2f30(VU1Interpreter&, VU1Interpreter::RunContext&)
0.10%     GameThread       PS2Memory::writeIORegister(unsigned int, unsigned int)
0.10%     GameThread       VU1RecompImage<12499688582289950957ul>::f1500(VU1Interpreter&, VU1Interpreter::RunContext&)
0.09%     GameThread       VU1RecompImage<11917748289753363281ul>::f06d0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.09%     GsWorker         std::__ndk1::deque<GsCommand, std::__ndk1::allocator<GsCommand>>::pop_front()
0.09%     GameThread       sub_0020EDA0_0x20eda0(unsigned char*, R5900Context*, PS2Runtime*)
0.09%     GameThread       PS2Memory::translateAddress(unsigned int)
0.09%     GameThread       sub_00174848_0x174848(unsigned char*, R5900Context*, PS2Runtime*)
0.09%     GameThread       VU1RecompImage<11917748289753363281ul>::f0668(VU1Interpreter&, VU1Interpreter::RunContext&)
0.09%     GsWorker         GS::recordRegisterDebugEventUnlocked(unsigned char, unsigned long)
0.09%     GameThread       VU1RecompImage<17692172933381506641ul>::f1458(VU1Interpreter&, VU1Interpreter::RunContext&)
0.09%     GameThread       VU1RecompImage<17692172933381506641ul>::f3110(VU1Interpreter&, VU1Interpreter::RunContext&)
0.09%     GsWorker         pthread_mutex_lock
0.09%     com.ps2x.runner  [kernel.kallsyms][+ffffffe761a8e810]
0.09%     GameThread       VU1RecompImage<12499688582289950957ul>::f1508(VU1Interpreter&, VU1Interpreter::RunContext&)
0.08%     GameThread       @plt
0.08%     GameThread       (anonymous namespace)::e37AppendVif(char const*, unsigned char, char const*, char const*, char const*, unsigned int, unsigned int, char const*, unsigned int const*, unsigned char const*, unsigned int, bool, unsigned int, char const*)
0.08%     GsWorker         ParallelGS::compute_page_rect(unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)
0.08%     GameThread       VU1RecompImage<17692172933381506641ul>::f2ee8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.08%     GameThread       sub_0032B6E0_0x32b6e0(unsigned char*, R5900Context*, PS2Runtime*)
0.08%     GameThread       VU1RecompImage<17692172933381506641ul>::f1488(VU1Interpreter&, VU1Interpreter::RunContext&)
0.08%     GameThread       sub_00389CB8_0x389cb8(unsigned char*, R5900Context*, PS2Runtime*)
0.08%     GsWorker         scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::quarantineOrDeallocateChunk(scudo::Options const&, void*, scudo::Chunk::UnpackedHeader*, unsigned long)
0.08%     GameThread       VU1Interpreter::execute(unsigned char*, unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int, unsigned int, unsigned int, unsigned int)
0.08%     GameThread       sub_003CB540_0x3cb540(unsigned char*, R5900Context*, PS2Runtime*)
0.08%     GameThread       VU1RecompImage<17692172933381506641ul>::f1460(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GsWorker         GsCommand::operator=(GsCommand&&)
0.07%     com.ps2x.runner  WaitTime
0.07%     GameThread       VU1RecompImage<17692172933381506641ul>::f3120(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GameThread       sub_0011E150_0x11e150(unsigned char*, R5900Context*, PS2Runtime*)
0.07%     GameThread       VU1RecompImage<17692172933381506641ul>::f2ef0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GameThread       VU1RecompImage<11917748289753363281ul>::f0540(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GameThread       VU1RecompImage<17692172933381506641ul>::f1450(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GameThread       VU1RecompImage<17692172933381506641ul>::f0a78(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GsWorker         ParallelGS::triangle_is_parallelogram_candidate(ParallelGS::VertexPosition const*, ParallelGS::VertexAttribute const*, muglm::tvec2<int> const&, muglm::tvec2<int> const&, ParallelGS::PRIMBits const&, muglm::tvec3<int>&)
0.07%     GameThread       VU1RecompImage<11917748289753363281ul>::f04d0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GameThread       VU1RecompImage<11917748289753363281ul>::f0720(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GameThread       VU1RecompImage<11917748289753363281ul>::f0538(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GameThread       VU1RecompImage<11917748289753363281ul>::f04e8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GsWorker         ParallelGS::PageTracker::mark_fb_write(ParallelGS::PageRect const&)
0.07%     GameThread       VU1RecompImage<17692172933381506641ul>::f2ef8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GameThread       VU1RecompImage<12499688582289950957ul>::f14c0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GameThread       VU1RecompImage<17692172933381506641ul>::f0ac0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GameThread       VU1RecompImage<17692172933381506641ul>::f3108(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GameThread       VU1RecompImage<17692172933381506641ul>::f2f38(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GameThread       VU1RecompImage<12499688582289950957ul>::f1440(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GameThread       VU1RecompImage<17692172933381506641ul>::f30f0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GameThread       GsWorker::enqueue(GsCommand)
0.07%     GameThread       VU1RecompImage<17692172933381506641ul>::f0ab8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GameThread       VU1RecompImage<17692172933381506641ul>::f3350(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GameThread       VU1RecompImage<11917748289753363281ul>::f0608(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GameThread       VU1RecompImage<11917748289753363281ul>::f0738(VU1Interpreter&, VU1Interpreter::RunContext&)
0.07%     GsWorker         __aarch64_cas2_acq
0.06%     GameThread       std::__ndk1::mutex::lock()
0.06%     GameThread       VU1RecompImage<12499688582289950957ul>::f1428(VU1Interpreter&, VU1Interpreter::RunContext&)
0.06%     GsWorker         __aarch64_swp2_rel
0.06%     GameThread       pthread_cond_signal
0.06%     GameThread       VU1RecompImage<11917748289753363281ul>::f0548(VU1Interpreter&, VU1Interpreter::RunContext&)
0.06%     GameThread       sub_002E3AF8_0x2e3af8(unsigned char*, R5900Context*, PS2Runtime*)
0.06%     GameThread       VU1RecompImage<12499688582289950957ul>::f1540(VU1Interpreter&, VU1Interpreter::RunContext&)
0.06%     GsWorker         GsWorker::threadMain()
0.06%     GameThread       VU1RecompImage<11917748289753363281ul>::f0560(VU1Interpreter&, VU1Interpreter::RunContext&)
0.06%     GameThread       VU1RecompImage<11917748289753363281ul>::f0568(VU1Interpreter&, VU1Interpreter::RunContext&)
0.06%     GameThread       VU1RecompImage<17692172933381506641ul>::f2eb8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.06%     GameThread       sub_0013D1B8_0x13d1b8(unsigned char*, R5900Context*, PS2Runtime*)
0.06%     GameThread       EeScheduler::checkpointDue(unsigned int)
0.06%     GameThread       VU1RecompImage<11917748289753363281ul>::f0598(VU1Interpreter&, VU1Interpreter::RunContext&)
0.06%     GameThread       PS2Runtime::executeVU0Microprogram(unsigned char*, R5900Context*, unsigned int)
0.06%     GameThread       VU1RecompImage<11917748289753363281ul>::f05b8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.06%     GameThread       VU1RecompImage<12499688582289950957ul>::f14f0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.06%     GameThread       VU1RecompImage<11917748289753363281ul>::f06a8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.06%     GameThread       sub_0033CCF8_0x33ccf8(unsigned char*, R5900Context*, PS2Runtime*)
0.06%     GsWorker         scudo::HybridMutex::unlock()
0.06%     GameThread       libunwind::LocalAddressSpace::getEncodedP(unsigned long&, unsigned long, unsigned char, unsigned long)
0.06%     GameThread       sub_002DD0B8_0x2dd0b8(unsigned char*, R5900Context*, PS2Runtime*)
0.06%     GameThread       VU1RecompImage<17692172933381506641ul>::f31a8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.06%     GameThread       VU1RecompImage<12499688582289950957ul>::f1510(VU1Interpreter&, VU1Interpreter::RunContext&)
0.06%     GameThread       VU1RecompImage<12951700169819473931ul>::f2de8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.06%     GameThread       VU1RecompImage<17692172933381506641ul>::f3178(VU1Interpreter&, VU1Interpreter::RunContext&)
0.06%     GameThread       VU1RecompImage<17692172933381506641ul>::f29c8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.06%     GsWorker         scudo::HybridMutex::tryLock()
0.06%     GameThread       vsnprintf
0.06%     com.ps2x.runner  __memcpy_aarch64_nt
0.06%     GameThread       VU1RecompImage<11917748289753363281ul>::f05c0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.06%     GsWorker         ParallelGS::GSInterface::drawing_kick_update_state(ParallelGS::GSInterface::FBFeedbackMode, muglm::tvec4<int> const&, muglm::tvec4<int> const&)
0.06%     GameThread       VU1RecompImage<12499688582289950957ul>::f1430(VU1Interpreter&, VU1Interpreter::RunContext&)
