Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 --call-graph fp --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 137186
Event count: 111751374042

Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Shared Object
0.13%     sub_00376938_0x376938(unsigned char*, R5900Context*, PS2Runtime*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.12%     [kernel.kallsyms][+ffffffe760855968]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.12%     [kernel.kallsyms][+ffffffe761a79560]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.12%     sub_0032E100_0x32e100(unsigned char*, R5900Context*, PS2Runtime*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.11%     VU1Interpreter::decodeInstructionPair(unsigned char const*, unsigned int) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.11%     std::__ndk1::pair<std::__ndk1::__hash_iterator<std::__ndk1::__hash_node<std::__ndk1::__hash_value_type<unsigned int, ps2_park::ParkHotPcEntry>, void*>*>, bool> std::__ndk1::__hash_table<std::__ndk1::__hash_value_type<unsigned int, ps2_park::ParkHotPcEntry>, std::__ndk1::__unordered_map_hasher<unsigned int, std::__ndk1::__hash_value_type<unsigned int, ps2_park::ParkHotPcEntry>, std::__ndk1::hash<unsigned int>, std::__ndk1::equal_to<unsigned int>, true>, std::__ndk1::__unordered_map_equal<unsigned int, std::__ndk1::__hash_value_type<unsigned int, ps2_park::ParkHotPcEntry>, std::__ndk1::equal_to<unsigned int>, std::__ndk1::hash<unsigned int>, true>, std::__ndk1::allocator<std::__ndk1::__hash_value_type<unsigned int, ps2_park::ParkHotPcEntry>>>::__emplace_unique_key_args<unsigned int, std::__ndk1::piecewise_construct_t const&, std::__ndk1::tuple<unsigned int const&>, std::__ndk1::tuple<>>(unsigned int const&, std::__ndk1::piecewise_construct_t const&, std::__ndk1::tuple<unsigned int const&>&&, std::__ndk1::tuple<>&&)  /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.11%     scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::quarantineOrDeallocateChunk(scudo::Options const&, void*, scudo::Chunk::UnpackedHeader*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         /apex/com.android.runtime/lib64/bionic/libc.so
0.11%     sub_002E8938_0x2e8938(unsigned char*, R5900Context*, PS2Runtime*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.11%     [kernel.kallsyms][+ffffffe761a6b788]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.10%     sub_0022ADD8_0x22add8(unsigned char*, R5900Context*, PS2Runtime*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.10%     VU1Interpreter::readBranchVi(unsigned char) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.10%     PS2Memory::advanceEeTimers(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.10%     [kernel.kallsyms][+ffffffe761a795a8]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
