Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g -e cpu-clock --trace-offcpu --duration 20
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 387188
Time in ns: 68002175599

Children  Self    Command   Symbol
0.85%     0.00%   GsWorker  ps2x_gs_parallel::(anonymous namespace)::GSParallelBackend::RawGifPacket(unsigned int, unsigned char const*, unsigned int)
0.84%     0.00%   GsWorker  libvulkan_freedreno.so[+c1d34c]
0.84%     0.04%   GsWorker  ParallelGS::GSInterface::gif_transfer(unsigned int, void const*, unsigned long)
0.83%     0.01%   GsWorker  libvulkan_freedreno.so[+c6032c]
0.83%     0.00%   GsWorker  libvulkan_freedreno.so[+ab0c68]
0.82%     0.00%   GsWorker  libvulkan_freedreno.so[+ac6114]
0.81%     0.00%   GsWorker  libvulkan_freedreno.so[+b40f2c]
0.80%     0.00%   GsWorker  libvulkan_freedreno.so[+afcd44]
0.79%     0.00%   GsWorker  libvulkan_freedreno.so[+bcf20c]
0.79%     0.00%   GsWorker  libvulkan_freedreno.so[+ac61c4]
0.75%     0.00%   GsWorker  libvulkan_freedreno.so[+aebb6c]
0.72%     0.00%   GsWorker  libvulkan_freedreno.so[+c195f4]
0.70%     0.00%   GsWorker  libvulkan_freedreno.so[+ac4c6c]
0.70%     0.00%   GsWorker  libvulkan_freedreno.so[+c192a8]
0.69%     0.00%   GsWorker  libvulkan_freedreno.so[+ab14a8]
0.68%     0.00%   GsWorker  libvulkan_freedreno.so[+a96980]
0.67%     0.00%   GsWorker  libvulkan_freedreno.so[+c5f630]
0.67%     0.00%   GsWorker  libvulkan_freedreno.so[+ac7a98]
0.67%     0.00%   GsWorker  libvulkan_freedreno.so[+b48bc8]
0.65%     0.00%   GsWorker  libvulkan_freedreno.so[+c1c9c8]
0.65%     0.00%   GsWorker  libvulkan_freedreno.so[+c35954]
0.64%     0.00%   GsWorker  libvulkan_freedreno.so[+bcf32c]
0.64%     0.00%   GsWorker  libvulkan_freedreno.so[+ae6158]
0.63%     0.00%   GsWorker  libvulkan_freedreno.so[+ac8284]
0.61%     0.00%   GsWorker  libvulkan_freedreno.so[+a27204]
0.61%     0.00%   GsWorker  libvulkan_freedreno.so[+ac1744]
0.61%     0.00%   GsWorker  libvulkan_freedreno.so[+ac6168]
0.60%     0.00%   GsWorker  libvulkan_freedreno.so[+a96bf8]
0.58%     0.00%   GsWorker  [kernel.kallsyms][+ffffffe760d5c676]
0.56%     0.00%   GsWorker  libvulkan_freedreno.so[+b7a490]
0.56%     0.00%   GsWorker  libvulkan_freedreno.so[+a969bc]
0.56%     0.00%   GsWorker  libvulkan_freedreno.so[+b8b1b0]
0.56%     0.00%   GsWorker  libvulkan_freedreno.so[+ab0b30]
0.56%     0.00%   GsWorker  libvulkan_freedreno.so[+ac60a0]
0.56%     0.00%   GsWorker  libvulkan_freedreno.so[+ae6c3c]
0.55%     0.00%   GsWorker  libvulkan_freedreno.so[+ac7e18]
0.55%     0.51%   GsWorker  libvulkan_freedreno.so[+b40d68]
0.54%     0.00%   GsWorker  libvulkan_freedreno.so[+cc4648]
0.54%     0.00%   GsWorker  libvulkan_freedreno.so[+ac7c60]
0.53%     0.00%   GsWorker  libvulkan_freedreno.so[+c637f0]
0.53%     0.00%   GsWorker  libvulkan_freedreno.so[+ab06c4]
0.52%     0.00%   GsWorker  libvulkan_freedreno.so[+b68f68]
0.52%     0.00%   GsWorker  libvulkan_freedreno.so[+bc9954]
0.52%     0.00%   GsWorker  libvulkan_freedreno.so[+aa1328]
0.51%     0.00%   GsWorker  libvulkan_freedreno.so[+c1abf8]
0.51%     0.00%   GsWorker  libvulkan_freedreno.so[+ae67dc]
