shape	tail_n	J_vs_s0	n257	ov257	pres257	n277	ov277	pres277	n296	ov296	pres296	n301	ov301	pres301	n321	ov321	pres321	n340	ov340	pres340	n342	ov342	pres342	n343	ov343	pres343
148	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
149	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
150	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
151	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
152	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
153	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
154	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
155	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
156	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
157	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
158	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
159	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
160	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
161	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
162	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
163	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
164	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
165	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
166	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
167	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
168	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
169	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
170	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
171	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
172	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
173	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
174	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
175	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
176	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
177	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
178	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
179	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
