# line addr width value pc thread ra copies; identical-run grouping only, not a RAM guest-store count
2432 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2434 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2436 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2441 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2442 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2444 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2446 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2448 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2453 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2454 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2456 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2458 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2460 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2463 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2464 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2466 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2468 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2470 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2473 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2474 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2476 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2478 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2480 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2483 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2484 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2486 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2488 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2490 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2493 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2494 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2496 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2498 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2500 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2502 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2503 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2505 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2507 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2509 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2511 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2512 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2514 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2516 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2518 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2520 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2521 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2523 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2525 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2527 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2542 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2543 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2545 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2547 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2549 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2585 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2586 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2588 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2590 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2592 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2597 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2598 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2600 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2602 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2604 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2640 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2641 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2643 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2645 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2647 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2651 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2652 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2654 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2657 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2659 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2663 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2664 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2666 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2668 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2670 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2674 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2675 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2677 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2679 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2681 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2685 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2686 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2688 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2690 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2692 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2696 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2697 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2699 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2701 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2703 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2707 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2708 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2710 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2712 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2714 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2718 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2719 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2721 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2723 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2725 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2729 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2730 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2732 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2734 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2736 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2740 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2741 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2743 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2745 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2747 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2751 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2752 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2754 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2756 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2758 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2762 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2763 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2765 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2767 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2769 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2773 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2774 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2776 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2778 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2780 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2784 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2785 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2787 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2789 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2791 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2795 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2796 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2798 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2800 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2802 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2840 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2841 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2843 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2845 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2847 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2859 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2860 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2862 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2864 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2866 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2879 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2880 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2882 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2884 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2886 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2898 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2899 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2901 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2903 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2905 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2917 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2918 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2920 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2922 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2924 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2936 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2937 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2939 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2941 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2943 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2955 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2956 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2958 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2960 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2962 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2974 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2975 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2977 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2979 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2981 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2985 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2986 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2988 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
2990 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
2992 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
2996 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
2997 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
2999 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
3001 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
3003 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
3007 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
3008 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
3010 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
3012 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
3014 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
3018 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
3019 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
3021 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
3023 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
3025 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
3029 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
3030 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
3032 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
3034 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
3036 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
3040 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
3041 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
3043 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
3045 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
3047 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
3051 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
3052 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
3054 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
3056 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
3058 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
3062 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
3063 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
3065 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
3067 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
3069 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
