Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 148317
Event count: 126658118938

Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Shared Object
0.19%     [kernel.kallsyms][+ffffffe761a8e664]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.19%     __emutls_get_address                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.16%     [kernel.kallsyms][+ffffffe760ad37c0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.16%     __vfprintf                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            /apex/com.android.runtime/lib64/bionic/libc.so
0.16%     pthread_mutex_unlock                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  /apex/com.android.runtime/lib64/bionic/libc.so
0.16%     VU1Interpreter::queueAccWrite(unsigned char, float const*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.14%     libunwind::findUnwindSectionsByPhdr(dl_phdr_info*, unsigned long, void*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.14%     GS::processGIFPacket(unsigned char const*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.13%     [kernel.kallsyms][+ffffffe761a79608]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.13%     [kernel.kallsyms][+ffffffe760a21684]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
