[  561.2553] Bios    :  intrman.023: QueryIntrContext (12eea1b, fffffffe, 0, 137b3b7b)
[  561.2553] Bios    :  intrman.017: CpuSuspendIntr (1ef1e0, fffffffe, 0, 137b3b7b)
[  561.2553] Bios    :  intrman.018: CpuResumeIntr (1, 97750, 0, 137b3b7b)
[  561.2553] Bios    :  sio2man.058:  (0, 0, 4f43c, 0)
[  561.2553] Bios    :  sio2man.058:  (0, 0, 4f43c, 0)
[  561.2553] Bios    :  sio2man.058:  (1, 0, 4f43c, 0)
[  561.2553] Bios    :  sio2man.058:  (1, 4faa0, 4f43c, 0)
[  561.2553] Bios    :  thevent.006: SetEventFlag (12eea1b, 80, 15, 4f498)
[  561.2553] Bios    :  intrman.023: QueryIntrContext (12eea1b, 80, 15, 4f498)
[  561.2553] Bios    :  intrman.017: CpuSuspendIntr (1ef218, 80, 15, 4f498)
[  561.2553] Bios    :  intrman.018: CpuResumeIntr (1, 97780, 170, e)
[  561.2553] Bios    :  thevent.010: WaitEventFlag (12eea1b, 1100, 1, 1ef228)
[  561.2553] Bios    :  intrman.023: QueryIntrContext (12eea1b, 1100, 1, 1ef228)
[  561.2553] Bios    :  intrman.017: CpuSuspendIntr (1ef1b0, 1100, 1, 1ef228)
[  561.2554] Bios    :  thevent.006: SetEventFlag (12e821d, 2, 0, ae7dd18)
[  561.2554] Bios    :  intrman.023: QueryIntrContext (12e821d, 2, 0, ae7dd18)
[  561.2554] Bios    :  intrman.017: CpuSuspendIntr (1f0280, 2, 0, ae7dd18)
[  561.2554] Bios    :  intrman.018: CpuResumeIntr (1, 97330, 170, e)
[  561.2554] Bios    :  thevent.010: WaitEventFlag (12e821d, 80, 10, 0)
[  561.2554] Bios    :  intrman.023: QueryIntrContext (12e821d, 80, 10, 0)
[  561.2554] Bios    :  intrman.017: CpuSuspendIntr (1f0288, 80, 10, 0)
[  561.2554] Bios    :  thevent.008: ClearEventFlag (12e821d, fffffffd, 0, 137b4560)
[  561.2554] Bios    :  intrman.023: QueryIntrContext (12e821d, fffffffd, 0, 137b4560)
[  561.2554] Bios    :  intrman.017: CpuSuspendIntr (1e76e8, fffffffd, 0, 137b4560)
[  561.2554] Bios    :  intrman.018: CpuResumeIntr (1, 97410, 0, 137b4560)
[  561.2554] Bios    :  thevent.006: SetEventFlag (12e821d, 80, 5, 4fba8)
[  561.2554] Bios    :  intrman.023: QueryIntrContext (12e821d, 80, 5, 4fba8)
[  561.2554] Bios    :  intrman.017: CpuSuspendIntr (1e7720, 80, 5, 4fba8)
[  561.2554] Bios    :  intrman.018: CpuResumeIntr (1, 97780, 170, e)
[  561.2554] Bios    :  thevent.010: WaitEventFlag (12e821d, 1100, 1, 1e7730)
[  561.2554] Bios    :  intrman.023: QueryIntrContext (12e821d, 1100, 1, 1e7730)
[  561.2554] Bios    :  intrman.017: CpuSuspendIntr (1e76b8, 1100, 1, 1e7730)
[  561.2554] Bios    :  thevent.010: WaitEventFlag (12f0c19, 1004, 1, 1f0290)
[  561.2554] Bios    :  intrman.023: QueryIntrContext (12f0c19, 1004, 1, 1f0290)
[  561.2554] Bios    :  intrman.017: CpuSuspendIntr (1f0218, 1004, 1, 1f0290)
[  561.2559] Bios    :   thbase.026: iWakeupThread (711a23, 0, 0, 0)
[  561.2559] Bios    :  intrman.023: QueryIntrContext (711a23, 0, 0, 0)
[  561.2559] Bios    : Bios call: iSignalSema (43)
[  561.2560] Bios    :    libsd.020: sceSdBlockTransStatus (0, 0, 6, d02002f5)
[  561.2560] Bios    : Bios call: RFU005 (5)
[  561.2560] Bios    :   thbase.025: WakeupThread (712821, 0, 106c00, 106c00)
[  561.2560] Bios    :  intrman.023: QueryIntrContext (712821, 0, 106c00, 106c00)
[  561.2560] Bios    :  intrman.017: CpuSuspendIntr (1f1ea8, 0, 106c00, 106c00)
[  561.2560] Bios    : Bios call: WaitSema (44)
[  561.2560] Bios    : Bios call: SignalSema (42)
[  561.2560] Bios    :  intrman.018: CpuResumeIntr (1, 38940, 78, f)
[  561.2560] Bios    :   thbase.024: SleepThread (1, 38940, 78, f)
[  561.2560] Bios    : Bios call: WaitSema (44)
[  561.2560] Bios    :  intrman.023: QueryIntrContext (1, 38940, 78, f)
[  561.2560] Bios    :  intrman.017: CpuSuspendIntr (1f1eb0, 38940, 78, f)
[  561.2560] Bios    :   thbase.034: GetSystemTime (1f33a0, ac000000, 0, 37538f3)
[  561.2560] Bios    :  intrman.014:  (115f8, 1f33a0, 0, 37538f3)
[  561.2560] Bios    :  timrman.010: GetTimerCounter (6bf8014a, 0, 37538f3, 37538f3)
