[  458.0185] Bios    :  thevent.006: SetEventFlag (12eea1b, 1, 0, 4faa0)
[  458.0185] Bios    :  intrman.023: QueryIntrContext (12eea1b, 1, 0, 4faa0)
[  458.0185] Bios    :  intrman.017: CpuSuspendIntr (1f0280, 1, 0, 4faa0)
[  458.0185] Bios    :  intrman.018: CpuResumeIntr (1, 97670, 170, e)
[  458.0185] Bios    :  thevent.010: WaitEventFlag (12eea1b, 80, 10, 0)
[  458.0185] Bios    :  intrman.023: QueryIntrContext (12eea1b, 80, 10, 0)
[  458.0186] Bios    :  intrman.017: CpuSuspendIntr (1f0288, 80, 10, 0)
[  458.0186] Bios    :  thevent.008: ClearEventFlag (12eea1b, fffffffe, 0, 105f29fc)
[  458.0186] Bios    :  intrman.023: QueryIntrContext (12eea1b, fffffffe, 0, 105f29fc)
[  458.0186] Bios    :  intrman.017: CpuSuspendIntr (1ef1e0, fffffffe, 0, 105f29fc)
[  458.0186] Bios    :  intrman.018: CpuResumeIntr (1, 97750, 0, 105f29fc)
[  458.0186] Bios    :  thevent.006: SetEventFlag (12eea1b, 80, 15, 4f498)
[  458.0186] Bios    :  intrman.023: QueryIntrContext (12eea1b, 80, 15, 4f498)
[  458.0186] Bios    :  intrman.017: CpuSuspendIntr (1ef218, 80, 15, 4f498)
[  458.0186] Bios    :  intrman.018: CpuResumeIntr (1, 97780, 170, e)
[  458.0186] Bios    :  thevent.010: WaitEventFlag (12eea1b, 1100, 1, 1ef228)
[  458.0186] Bios    :  intrman.023: QueryIntrContext (12eea1b, 1100, 1, 1ef228)
[  458.0186] Bios    :  intrman.017: CpuSuspendIntr (1ef1b0, 1100, 1, 1ef228)
[  458.0186] Bios    :  thevent.006: SetEventFlag (12e821d, 2, 0, 9245c98)
[  458.0186] Bios    :  intrman.023: QueryIntrContext (12e821d, 2, 0, 9245c98)
[  458.0186] Bios    :  intrman.017: CpuSuspendIntr (1f0280, 2, 0, 9245c98)
[  458.0186] Bios    :  intrman.018: CpuResumeIntr (1, 97330, 170, e)
[  458.0186] Bios    :  thevent.010: WaitEventFlag (12e821d, 80, 10, 0)
[  458.0186] Bios    :  intrman.023: QueryIntrContext (12e821d, 80, 10, 0)
[  458.0186] Bios    :  intrman.017: CpuSuspendIntr (1f0288, 80, 10, 0)
[  458.0187] Bios    :  thevent.008: ClearEventFlag (12e821d, fffffffd, 0, 105f33d4)
[  458.0187] Bios    :  intrman.023: QueryIntrContext (12e821d, fffffffd, 0, 105f33d4)
[  458.0187] Bios    :  intrman.017: CpuSuspendIntr (1e76e8, fffffffd, 0, 105f33d4)
