A: 123 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3b-1.log)
B: 165 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3d-1.log)
matched ticks: 123 (gate 26, extra 97)

| tick | vram A/B | regs A/B | pres A/B | sub A/B | priv A/B | pw×ph A/B | verdict |
| 3150 | 21ad5b71/81544a34 | 937c10fe/937c10fe | 7e543067/b1d33b56 | 457185/457062 | 18647/18642 | 512x448/512x448 | MISMATCH (extra) |
| 3200 | 4ebf68ac/871f8a1e | 214fbdc8/214fbdc8 | a5a18361/730ec258 | 464385/464262 | 18947/18942 | 512x448/512x448 | MISMATCH (extra) |
| 3250 | 301b3abe/d7e7d4 | f093be02/f093be02 | 4de441e6/47dfe069 | 471585/471462 | 19247/19242 | 512x448/512x448 | MISMATCH (extra) |
| 3300 | d432263f/48cf0f0c | 7e676acc/7e676acc | 141c2c7e/256ceae6 | 478785/478662 | 19547/19542 | 512x448/512x448 | MISMATCH (extra) |
| 3350 | dc993c26/498b4fdb | 2be459a1/2be459a1 | f5b1a93f/a06be614 | 486137/486014 | 19847/19842 | 512x448/512x448 | MISMATCH (extra) |
| 3400 | 1cba5bc1/60688dc6 | b9b8066b/b9b8066b | 988db1aa/ae237690 | 492537/492414 | 20147/20142 | 512x448/512x448 | MISMATCH (extra) |
| 3450 | 211bc9a9/76c1df10 | 8ed1ca05/8ed1ca05 | 8733698b/dc67040b | 498937/498814 | 20447/20442 | 512x448/512x448 | MISMATCH (extra) |
| 3500 | c31e45cc/481eb689 | 1ca576cf/1ca576cf | b1b877b4/b76a67a1 | 505337/505214 | 20747/20742 | 512x448/512x448 | MISMATCH (extra) |
| 3550 | 5449a131/ab4b1930 | addf3689/addf3689 | 50bb6d46/761f8166 | 511737/511614 | 21047/21042 | 512x448/512x448 | MISMATCH (extra) |
| 3600 | 3713dccf/643775f0 | 57f6126e/57f6126e | 687996c3/7636cb53 | 518137/518014 | 21347/21342 | 512x448/512x448 | MISMATCH (extra) |
| 3650 | 73d14f26/8986ed35 | 877a39fc/877a39fc | d8f3c557/521da4c | 524537/524414 | 21647/21642 | 512x448/512x448 | MISMATCH (extra) |
| 3700 | 471e735f/1013b04c | b50dbf72/b50dbf72 | 2e478013/3501d772 | 530937/530814 | 21947/21942 | 512x448/512x448 | MISMATCH (extra) |
| 3750 | 4553a05e/37b6aaea | e491e700/e491e700 | d6960cd0/92be6c99 | 537337/537214 | 22247/22242 | 512x448/512x448 | MISMATCH (extra) |
| 3800 | 3d18f0ae/ab810dc4 | d41b2bf6/d41b2bf6 | 54228141/72fd7eaa | 543737/543614 | 22547/22542 | 512x448/512x448 | MISMATCH (extra) |
| 3850 | e6435284/36770b6d | 25b845ff/25b845ff | 855fe01a/2ba57bea | 550137/550014 | 22847/22842 | 512x448/512x448 | MISMATCH (extra) |
| 3900 | 7cffccd5/ff52c474 | 534bcb75/534bcb75 | 3d9952c2/8d76017e | 556549/556426 | 23147/23142 | 512x448/512x448 | MISMATCH (extra) |
| 3950 | 79a27dca/1758ea64 | 82cff303/82cff303 | f746867a/cc2c814b | 565163/565040 | 23442/23437 | 512x448/512x448 | MISMATCH (extra) |
| 4000 | 33d2779e/ca2080ac | 915e5839/915e5839 | b2d62761/96974dba | 575243/575120 | 23742/23737 | 512x448/512x448 | MISMATCH (extra) |
| 4100 | 61a57d54/40869659 | b956c480/b4c593e0 | 48bd2ace/a9ea2eee | 619596/598192 | 24347/24215 | 512x448/512x448 | MISMATCH (extra) |
| 4150 | c0c6585f/52584d89 | 70e0d8b2/8b54c852 | 88b1dd4c/e1f1b91e | 660396/615789 | 24757/24470 | 512x448/512x448 | MISMATCH (extra) |
