tick	packet	path	batch	cand	kind	dst_xy	dst_addr	old	new	src_uv	taps	tap_state	blend	state	test	classification
600	47176	2	32	-	batch-c1	-	-	-	-	-	-	-	-	rect=(296,378)-(304,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	33	-	batch-c1	-	-	-	-	-	-	-	-	rect=(305,378)-(306,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	34	-	batch-c1	-	-	-	-	-	-	-	-	rect=(309,381)-(315,389) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	35	-	batch-c1	-	-	-	-	-	-	-	-	rect=(318,378)-(324,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	36	-	batch-c1	-	-	-	-	-	-	-	-	rect=(327,378)-(331,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	37	-	batch-c1	-	-	-	-	-	-	-	-	rect=(332,381)-(337,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	38	-	batch-c1	-	-	-	-	-	-	-	-	rect=(339,377)-(339,377) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	39	-	batch-c1	-	-	-	-	-	-	-	-	rect=(343,378)-(350,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	39	A	c1-pixel	(343,378)	000bae74	50ddd1be	63353341	preF=(281.188,18.000) preI=(281,18) post=(281,18)	-	raw=0000000f nibble=f clut=23 texel=63808080	rgba-in=(29,5,4,99)	frame=fbp0,fbw8,psm0 tex=tbp0-11017,tbw8,psm20 test=0x31143 alpha=0x44	outcome=traced-write	traced-write
600	47176	2	40	-	batch-c1	-	-	-	-	-	-	-	-	rect=(352,381)-(358,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	41	-	batch-c1	-	-	-	-	-	-	-	-	rect=(361,381)-(366,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	42	-	batch-c1	-	-	-	-	-	-	-	-	rect=(369,381)-(375,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	42	B	c1-pixel	(369,381)	000bbe8c	52e0d5c2	1faaa29a	preF=(491.214,2.071) preI=(491,2) post=(491,2)	-	raw=00000009 nibble=9 clut=17 texel=1f808080	rgba-in=(29,5,4,31)	frame=fbp0,fbw8,psm0 tex=tbp0-11017,tbw8,psm20 test=0x31143 alpha=0x44	outcome=traced-write	traced-write
600	47176	2	43	-	batch-c1	-	-	-	-	-	-	-	-	rect=(378,381)-(380,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	44	-	batch-c1	-	-	-	-	-	-	-	-	rect=(382,381)-(390,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	44	C	c1-pixel	(382,381)	000bbfb8	52e5d9c3	70201f31	preF=(377.056,2.071) preI=(377,2) post=(377,2)	-	raw=0000000f nibble=f clut=23 texel=70808080	rgba-in=(29,5,4,112)	frame=fbp0,fbw8,psm0 tex=tbp0-11017,tbw8,psm20 test=0x31143 alpha=0x44	outcome=traced-write	traced-write
600	47176	2	45	-	batch-c1	-	-	-	-	-	-	-	-	rect=(391,381)-(398,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	46	-	batch-c1	-	-	-	-	-	-	-	-	rect=(401,378)-(407,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	46	D	c1-pixel	(407,378)	000bce74	50ede2ce	574e4b55	preF=(497.786,39.000) preI=(497,39) post=(497,39)	-	raw=0000000f nibble=f clut=23 texel=57808080	rgba-in=(29,5,4,87)	frame=fbp0,fbw8,psm0 tex=tbp0-11017,tbw8,psm20 test=0x31143 alpha=0x44	outcome=traced-write	traced-write
600	47176	2	47	-	batch-c1	-	-	-	-	-	-	-	-	rect=(410,387)-(411,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
601	47240	3	0	-	batch-carrier	-	-	-	-	-	-	-	-	rect=(0,0)-(30,445) fst=1 tme=1 abe=0 frame=fbp112,fbw8,psm1,fbmsk=0xff000000 tex=tbp0-0,tbw8,psm0,tw10,th9,tcc0,tfx0,cbp0,cpsm0,csm0,csa0,cld0 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x30000 alpha=0x8000000064 pabe=0 vrt=(128,128,128,128)	-	batch-carrier
601	47240	3	1	-	batch-carrier	-	-	-	-	-	-	-	-	rect=(31,0)-(62,445) fst=1 tme=1 abe=0 frame=fbp112,fbw8,psm1,fbmsk=0xff000000 tex=tbp0-0,tbw8,psm0,tw10,th9,tcc0,tfx0,cbp0,cpsm0,csm0,csa0,cld0 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x30000 alpha=0x8000000064 pabe=0 vrt=(128,128,128,128)	-	batch-carrier
601	47240	3	2	-	batch-carrier	-	-	-	-	-	-	-	-	rect=(63,0)-(94,445) fst=1 tme=1 abe=0 frame=fbp112,fbw8,psm1,fbmsk=0xff000000 tex=tbp0-0,tbw8,psm0,tw10,th9,tcc0,tfx0,cbp0,cpsm0,csm0,csa0,cld0 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x30000 alpha=0x8000000064 pabe=0 vrt=(128,128,128,128)	-	batch-carrier
601	47240	3	3	-	batch-carrier	-	-	-	-	-	-	-	-	rect=(95,0)-(126,445) fst=1 tme=1 abe=0 frame=fbp112,fbw8,psm1,fbmsk=0xff000000 tex=tbp0-0,tbw8,psm0,tw10,th9,tcc0,tfx0,cbp0,cpsm0,csm0,csa0,cld0 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x30000 alpha=0x8000000064 pabe=0 vrt=(128,128,128,128)	-	batch-carrier
601	47240	3	4	-	batch-carrier	-	-	-	-	-	-	-	-	rect=(127,0)-(158,445) fst=1 tme=1 abe=0 frame=fbp112,fbw8,psm1,fbmsk=0xff000000 tex=tbp0-0,tbw8,psm0,tw10,th9,tcc0,tfx0,cbp0,cpsm0,csm0,csa0,cld0 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x30000 alpha=0x8000000064 pabe=0 vrt=(128,128,128,128)	-	batch-carrier
