phnum=1 shnum=81
seg0 type=1 flags=7 off=0x1000 vaddr=0x100000 filesz=0x3a4bf4 memsz=0x43eadc
sec name='.DVP.overlay..0x2000.3476911979.1606.4' type=2147480609 flags=0x5 addr=0x0 off=0x3af7b9 size=0x800
sec name='.DVP.overlay..0x2800.3476911979.2077.5' type=2147480609 flags=0x5 addr=0x0 off=0x3affb9 size=0x800
sec name='.DVP.overlay..0x3000.3476911979.2311.6' type=2147480609 flags=0x5 addr=0x0 off=0x3b07b9 size=0x800
sec name='.DVP.overlay..0x3800.3887078011.137.7' type=2147480609 flags=0x5 addr=0x0 off=0x3b0fb9 size=0x608
sec name='.DVP.overlay..0x0.114211.91.0' type=2147480609 flags=0x5 addr=0x0 off=0x3b15c1 size=0x800
sec name='.DVP.overlay..0x800.3887188907.110.1' type=2147480609 flags=0x5 addr=0x0 off=0x3b1dc1 size=0x800
sec name='.DVP.overlay..0x1000.2663826603.40.2' type=2147480609 flags=0x5 addr=0x0 off=0x3b25c1 size=0x800
sec name='.DVP.overlay..0x1800.3479152939.128.3' type=2147480609 flags=0x5 addr=0x0 off=0x3b2dc1 size=0x120
sec name='.DVP.overlay..0x0.115107.53.0' type=2147480609 flags=0x5 addr=0x0 off=0x3b2ee1 size=0x800
sec name='.DVP.overlay..0x800.3479496059.164.1' type=2147480609 flags=0x5 addr=0x0 off=0x3b36e1 size=0x98
sec name='.DVP.overlay..0x0.109059.36.0' type=2147480609 flags=0x5 addr=0x0 off=0x3b3779 size=0x800
sec name='.DVP.overlay..0x800.1022753019.461.1' type=2147480609 flags=0x5 addr=0x0 off=0x3b3f79 size=0x740
sec name='.shstrtab' type=3 flags=0x0 addr=0x0 off=0x3b46b9 size=0xafc
symtab_sections=0 reloc_sections=0
